""	./WT_1	./WT_2	./WT_3	./Y2_1	./Y2_2	./Y2_3	./YT_1	./YT_2	./YT_3
IGLL5	0	0	0	0	0	0	0	0	0
IGLJ1	0	0	0	0	0	0	0	0	0
IGLC1	0	0	0	0	0	0	0	0	0
IGLJ2	0	0	0	0	0	0	0	0	0
IGLC2	0	0	0	0	0	0	0	0	0
IGLJ3	0	0	0	0	0	0	0	0	0
IGLC3	0	0	0	0	0	0	0	0	0
IGLJ4	0	0	0	0	0	0	0	0	0
IGLC4	0	0	0	0	0	0	0	0	0
IGLJ5	0	0	0	0	0	0	0	0	0
IGLC5	0	0	0	0	0	0	0	0	0
IGLJ6	0	0	0	0	0	0	0	0	0
IGLC6	0	0	0	0	0	0	0	0	0
IGLJ7	0	0	0	0	0	0	0	0	0
IGLC7	0	0	0	0	0	0	0	0	0
ATP5PFP2	0	0	0	0	0	0	0	1	0
ENSG00000223679	0	0	0	0	0	0	0	0	0
ENSG00000302749	0	0	0	0	0	0	0	0	0
RSPH14	12	10	17	4	12	11	28	11	18
GNAZ	740	591	973	735	972	1151	2333	745	1443
RAB36	118	132	98	281	305	341	808	276	436
ENSG00000294355	1	2	2	2	0	2	3	1	2
BCR	5488	4768	7180	7471	3476	7703	6847	3260	8764
BCRP8	5	3	5	2	2	2	9	3	6
RN7SL263P	0	0	0	0	0	0	0	0	0
FBXW4P1	18	9	28	39	11	23	16	12	25
ENSG00000296232	0	0	0	0	0	0	0	0	0
RPS10P30	0	0	0	0	0	0	0	0	0
LINC02556	0	0	0	0	1	0	1	0	0
ENSG00000290920	23	20	48	25	24	59	49	24	28
CES5AP1	0	0	0	0	0	0	0	0	0
ENSG00000309962	0	0	0	0	0	0	0	0	0
ENSG00000309931	0	0	0	0	0	0	0	0	0
CCDC188BP	0	0	0	0	0	0	0	0	0
ZDHHC8BP	0	1	3	1	0	2	1	0	1
ENSG00000309947	0	0	0	0	0	0	1	0	0
LINC01659	9	10	24	10	20	21	46	30	16
ENSG00000227755	0	0	0	0	0	0	0	0	0
FAM230I	0	0	0	0	0	0	1	0	0
ENSG00000302395	0	0	0	0	0	0	0	0	0
ENSG00000287864	1	0	0	0	0	0	0	1	0
LINC02557	1	0	0	0	0	0	0	0	0
ENSG00000296781	0	0	1	0	0	0	0	0	0
PCAT14	27	25	42	532	34	121	27	299	33
ENSG00000224277	0	0	0	0	0	0	0	0	0
IGLL1	0	0	0	0	0	0	0	0	0
ENSG00000272733	0	0	1	0	1	0	0	0	1
ENSG00000278655	0	0	0	0	0	0	0	0	0
DRICH1	0	0	1	1	3	4	0	0	0
ENSG00000275609	0	0	0	0	0	0	0	0	0
GUSBP11	379	318	634	448	398	1129	845	294	1307
ENSG00000234353	0	0	0	0	0	0	0	0	0
ASLP1	4	1	5	3	3	8	4	0	6
RGL4	0	0	2	0	0	0	1	1	2
ZNF70	146	112	163	253	114	237	257	144	279
VPREB3	10	6	16	7	15	16	22	10	6
C22orf15	52	36	51	4	23	23	43	7	38
CHCHD10	365	417	343	1634	474	671	2093	1677	725
MMP11	331	351	280	606	408	601	481	159	481
SMARCB1	4962	4664	5775	9246	4450	8910	9585	4656	8835
ENSG00000297571	0	1	0	0	0	0	0	1	0
DERL3	400	347	168	308	520	437	849	147	474
ENSG00000297590	0	0	0	0	0	0	0	0	0
ENSG00000297546	0	0	0	0	0	0	0	0	0
ENSG00000272973	19	16	26	24	17	65	46	17	9
SLC2A11	125	115	215	311	166	393	364	252	319
ENSG00000251357	0	0	0	0	0	0	0	0	0
ENSG00000279467	0	0	1	0	0	0	0	0	0
RN7SL268P	0	0	0	0	0	0	0	0	0
ENSG00000290199	47	55	39	70	53	71	104	61	73
MIF	6885	5545	2536	6650	6251	3936	5702	1272	3859
MIF-AS1	39	105	23	503	239	24	351	59	35
ENSG00000273295	19	11	31	18	30	60	88	36	88
KLHL5P1	0	1	0	2	0	0	7	2	0
ENSG00000206090	0	0	1	0	0	0	0	0	0
ENSG00000231271	0	0	0	0	0	0	0	0	0
ENSG00000298765	0	1	3	0	0	0	0	0	4
GSTT2B	31	27	33	23	1	36	1	9	6
ENSG00000298703	2	0	0	3	0	0	2	0	1
ENSG00000228039	0	0	0	0	0	0	0	0	0
ENSG00000298810	0	0	0	1	0	0	0	0	0
DDTL	7	12	1	24	5	6	16	4	5
ENSG00000272787	0	0	0	0	0	0	0	0	0
DDT	1030	768	420	1623	699	986	2245	2849	763
ENSG00000298832	0	0	0	2	0	1	1	0	0
GSTT3P	0	0	0	0	0	0	0	0	0
ENSG00000250470	0	0	0	0	0	0	0	0	0
GSTT2	0	3	6	1	0	2	0	2	0
GSTT4	0	2	5	1	0	0	0	0	9
ENSG00000298726	1	0	0	0	0	1	2	0	3
ENSG00000298743	0	1	1	6	0	2	2	1	0
ENSG00000235689	0	0	1	0	0	0	0	0	0
CABIN1	3994	3145	3735	6031	3976	8995	8244	2569	8135
ENSG00000232545	5	3	9	2	1	15	8	0	11
ENSG00000294480	0	0	0	0	0	0	2	1	0
SUSD2	349	261	356	1364	683	1277	1691	817	1289
GGT5	3	5	16	4	7	8	8	1	7
POM121L9P	13	11	47	10	26	32	45	2	51
ENSG00000300174	0	0	0	0	0	0	0	0	0
GGTLC4P	0	0	0	0	0	0	0	0	0
ENSG00000300150	4	1	0	1	0	1	1	0	2
BCRP1	0	0	0	0	0	0	0	0	0
RPS10P29	0	0	0	3	1	1	0	0	1
SPECC1L	958	797	1236	2140	926	1908	1771	728	1907
SPECC1L-ADORA2A	0	1	0	0	0	1	0	0	1
ENSG00000299949	0	1	2	0	0	6	0	0	3
ADORA2A	1	0	2	1	0	5	3	0	11
ADORA2A-AS1	4	12	14	6	2	4	4	0	12
UPB1	0	0	4	4	1	5	3	1	6
ENSG00000228923	0	0	0	0	0	2	0	0	0
GUCD1	2795	2701	1919	4298	1945	2969	3517	1989	4106
SNRPD3	1137	1115	1182	2030	1017	1828	2759	1627	2780
ENSG00000286070	0	1	2	1	2	3	0	0	6
LRRC75B	273	239	482	307	349	599	613	138	507
GGT1	22	14	39	32	16	40	17	6	36
ENSG00000230947	0	0	0	0	0	0	0	0	0
BCRP3	18	9	70	18	33	37	77	34	71
ENSG00000284233	0	0	0	0	0	0	0	0	0
ENSG00000284070	5	2	2	1	1	5	0	3	1
ENSG00000295393	0	0	0	0	0	0	0	0	0
POM121L10P	0	0	0	0	0	0	0	0	0
ENSG00000299016	0	0	0	0	0	0	0	0	0
ARL5AP4	0	0	0	1	0	0	2	1	0
ACTR2P1	0	0	1	23	1	0	42	15	1
ENSG00000282012	60	55	22	74	38	27	105	119	49
ENSG00000309048	1	0	4	0	0	2	2	4	0
ENSG00000237601	0	0	0	0	0	0	0	0	0
CRIP1P4	0	0	0	0	0	0	0	0	0
PIWIL3	13	10	12	41	0	13	4	35	7
SGSM1	194	166	298	171	108	271	233	82	215
ENSG00000199783	0	0	0	0	0	0	0	0	0
LHFPL7	0	0	0	1	0	0	0	0	0
KIAA1671	1456	1089	1749	1783	839	2004	2359	1524	2275
ENSG00000279085	0	0	0	0	0	0	0	0	0
ENSG00000279548	0	0	0	0	0	0	0	0	0
ENSG00000279006	0	0	0	1	0	0	0	0	0
ENSG00000279110	0	0	0	0	0	0	0	0	0
KIAA1671-AS1	0	0	0	1	0	1	3	1	1
ENSG00000307633	3	0	8	4	1	3	1	0	1
STMN3P1	0	0	0	0	0	0	0	0	0
CRYBB3	9	4	9	8	4	10	7	3	7
ENSG00000236641	2	1	0	2	1	2	1	2	0
CRYBB2	1	4	4	0	1	7	5	6	4
ENSG00000298663	0	0	1	0	0	0	0	0	0
ENSG00000279298	0	0	0	0	0	0	0	0	0
ENSG00000233577	35	42	104	19	6	24	29	9	10
ENSG00000285968	0	0	2	2	0	0	2	0	0
ENSG00000285690	0	0	0	0	0	0	0	0	0
IGLL3P	0	0	0	0	0	0	0	0	0
ENSG00000300687	0	0	0	1	0	0	0	0	0
ENSG00000230637	1	1	0	0	0	0	0	0	0
PHF10P2	4	0	10	15	4	21	14	7	24
ENSG00000290796	14	9	26	26	18	46	34	18	81
LRP5L	0	0	0	0	0	0	0	0	0
ENSG00000272942	4	8	9	1	11	18	23	11	19
ENSG00000272798	0	0	0	0	0	0	0	0	0
IGLVIVOR22-1	2	1	5	1	1	3	0	0	4
CRYBB2P1	385	384	582	694	333	868	933	592	784
MIR6817	0	0	0	0	0	0	0	0	0
ENSG00000272977	49	48	78	51	62	112	127	78	153
GRK3-AS1	1	0	6	6	0	6	6	3	5
GRK3	1516	1356	1996	1951	895	2417	2819	1540	2216
ENSG00000237387	0	0	0	0	0	0	0	0	0
YES1P1	0	0	4	8	1	2	4	4	1
ENSG00000306469	0	0	0	0	0	0	0	0	0
RNA5SP494	0	0	0	0	0	0	0	0	0
MYO18B	24	23	73	46	14	61	20	17	27
ENSG00000278960	0	0	0	0	0	0	0	0	0
MYO18B-AS1	0	0	0	0	0	0	0	0	0
ENSG00000232464	0	0	0	0	0	0	0	0	0
RN7SKP169	0	0	0	0	0	0	0	0	0
ENSG00000232050	0	0	0	0	0	0	0	0	0
ENSG00000306790	0	1	1	0	0	0	0	0	0
LINC02559	0	0	0	2	0	0	0	0	0
ENSG00000309274	0	0	0	1	0	0	0	0	0
ENSG00000229770	2	4	11	16	12	33	28	17	18
SEZ6L	51	45	77	674	693	761	1397	600	473
SEZ6L-AS1	0	0	0	0	0	0	0	0	0
RNA5SP495	0	0	0	0	0	0	0	0	0
RPS3AP55	2	0	0	0	0	0	0	0	0
ASPHD2	477	437	569	627	531	711	1108	438	751
HPS4	1613	1376	1897	2091	1177	3110	2896	1358	2762
ENSG00000307305	0	0	1	1	0	1	0	0	0
SRRD	979	1001	745	1747	881	1353	1992	1345	1723
TFIP11	958	907	963	1933	724	1811	1626	940	2369
TFIP11-DT	161	137	174	119	76	326	269	121	165
TPST2	2377	2087	1487	5610	2501	3576	4817	3026	3119
ENSG00000296814	0	0	0	0	0	0	0	0	0
MIR548J	0	0	1	0	0	0	0	0	0
ENSG00000299773	459	322	86	139	142	85	267	130	109
HMGB1P10	0	0	0	0	0	0	0	0	0
ENSG00000286326	2	4	6	2	10	17	9	6	9
CRYBB1	153	124	86	176	119	107	308	205	125
CRYBA4	79	103	153	105	128	72	209	47	170
ENSG00000309298	29	36	30	17	24	17	128	61	26
ISCA2P1	19	16	7	3	6	16	20	7	3
MIATNB	71	66	93	121	51	138	121	61	158
MIAT	1503	1263	4369	1942	3025	7671	5938	1852	11364
ENSG00000278404	0	0	0	0	0	0	0	0	0
ENSG00000206028	1	1	4	4	0	3	1	1	11
ENSG00000277941	0	0	0	0	0	0	0	0	0
ENSG00000275942	0	0	0	0	0	0	0	0	0
ENSG00000276991	0	0	0	0	0	0	0	0	0
ENSG00000309348	0	0	0	0	0	0	0	0	0
RPL15P22	13	38	2	851	25	0	533	127	1
ENSG00000279440	0	0	0	0	0	0	0	0	0
ENSG00000308315	0	0	0	0	0	0	0	0	0
RNU6-1066P	0	0	0	0	0	0	0	0	0
ENSG00000279914	0	0	0	0	0	0	0	0	0
ENSG00000279848	0	0	0	0	0	0	0	0	0
ENSG00000236858	0	0	0	0	0	0	0	0	1
ENSG00000280025	0	0	0	0	0	0	0	0	0
ENSG00000300936	0	0	0	0	0	0	0	0	0
ENSG00000300959	0	0	0	0	0	0	0	0	0
ENSG00000231405	0	0	0	0	0	0	0	0	0
LINC01638	0	0	0	0	0	0	0	0	0
ENSG00000304686	0	0	0	0	0	0	0	0	0
ENSG00000238195	0	0	0	0	0	0	0	0	0
ENSG00000299465	0	0	0	0	0	0	0	0	0
ENSG00000233574	0	0	0	0	0	0	1	0	0
ENSG00000223726	0	0	0	0	1	0	1	1	0
LINC02554	8	6	2	5	13	9	29	8	20
ENSG00000302993	4	6	11	3	10	22	55	20	13
ENSG00000230051	0	0	0	0	1	0	0	1	2
ENSG00000280445	0	1	1	2	0	5	4	0	3
ENSG00000287034	0	2	0	0	0	0	0	0	0
ENSG00000227880	1	0	1	0	0	0	1	1	0
ENSG00000224027	2	1	0	0	2	4	3	0	0
ENSG00000307679	0	0	1	0	0	0	0	0	0
ENSG00000289489	91	84	47	187	21	273	45	98	70
ENSG00000295865	0	1	0	0	0	0	1	0	1
ENSG00000295854	166	175	65	430	42	458	72	244	119
CPMER	34	60	41	129	4	191	24	87	31
ENSG00000231495	0	0	0	0	0	0	0	0	0
ENSG00000226169	0	0	0	0	0	0	0	0	0
ENSG00000295876	0	0	0	0	0	0	1	0	0
ENSG00000295890	0	0	0	1	0	0	0	1	0
MN1	998	788	1019	2076	1659	1927	4493	2296	2511
ENSG00000301405	0	0	0	0	0	0	0	0	0
ENSG00000299103	3	0	0	3	0	2	0	0	2
ENSG00000308539	0	0	0	0	0	0	0	0	0
PITPNB	2702	2631	2619	4640	2065	4468	6199	4472	5261
TTC28-AS1	332	346	284	532	352	650	832	458	699
ENSG00000277460	0	0	0	0	0	0	0	0	0
MIR3199-1	0	0	0	0	0	0	0	0	0
MIR3199-2	0	0	0	0	0	0	0	0	0
ENSG00000276150	0	0	0	0	0	0	0	0	0
ENSG00000294461	0	0	0	0	0	0	0	0	0
TTC28	897	656	1168	920	1051	1905	3249	1105	2912
ENSG00000274342	0	0	0	0	0	0	0	0	0
ENSG00000276675	0	0	0	0	0	0	0	0	0
RN7SL757P	0	0	0	0	0	0	0	0	0
MIR5739	0	0	0	0	0	0	0	0	0
RN7SL162P	0	0	0	0	0	0	0	0	0
CHEK2	2677	2646	1977	5083	1907	4407	3950	3012	2684
HSCB	162	194	453	434	146	578	395	318	505
ENSG00000295361	0	0	1	2	2	1	2	0	0
CCDC117	2058	1958	1913	3374	1438	2813	3807	3000	2192
XBP1	4232	4010	3685	11240	3142	5987	9029	8609	2733
ENSG00000226471	32	28	40	24	25	52	63	31	37
ENSG00000272858	4	0	5	0	0	3	3	0	4
BBLNP2	0	0	0	0	0	0	0	0	0
ENSG00000302057	2	1	1	1	1	3	2	3	3
ZNRF3	922	830	1058	1475	696	1416	1380	815	1184
ZNRF3-IT1	2	0	1	0	0	2	0	0	0
ZNRF3-AS1	0	0	0	0	0	0	1	0	0
C22orf31	0	0	2	1	0	1	0	3	5
ENSG00000295282	0	0	0	0	0	0	0	0	0
KREMEN1	341	312	277	666	323	820	501	248	487
ENSG00000226772	0	0	0	0	0	0	0	0	0
RNU6-810P	0	0	0	0	0	0	0	0	0
RNU6-1219P	0	0	0	0	0	0	0	0	0
EMID1	131	117	438	193	319	424	196	37	305
RHBDD3	1227	1133	1412	2060	983	2054	1116	398	2155
ENSG00000237015	3	2	7	0	8	11	20	0	6
EWSR1	8838	8615	11842	15838	7066	16471	19642	12311	21752
ENSG00000301612	3	1	23	15	1	50	5	1	42
GAS2L1	295	268	224	888	254	387	336	185	317
RASL10A	24	13	17	65	36	25	58	57	12
ENSG00000273216	1	1	1	2	0	1	0	0	1
AP1B1	4816	4329	4149	7574	3304	7174	5742	2740	7065
ENSG00000280968	0	0	1	2	0	0	0	0	2
SNORD125	0	0	0	0	0	0	0	0	0
ENSG00000290778	1	0	0	0	1	0	0	1	0
ENSG00000285697	0	0	0	0	0	0	0	0	0
RFPL1S	36	33	58	155	92	125	226	141	194
ENSG00000242156	0	0	0	0	0	0	0	0	0
RFPL4AP6	0	0	0	0	0	0	0	0	0
RFPL1	0	0	0	0	0	0	0	0	0
NEFH	179	173	140	786	232	541	830	649	850
ENSG00000282816	0	0	0	0	0	0	0	0	0
THOC5	1654	1565	2225	4306	1197	3284	2817	2055	2916
ENSG00000234208	0	0	0	0	0	1	0	0	2
NIPSNAP1	8291	7927	11362	12224	9117	14983	20415	6270	15185
ENSG00000296836	0	0	0	0	0	0	0	0	0
NF2	1156	1085	1179	2686	992	2066	1854	1109	1902
RPEP4	0	0	5	0	0	3	0	0	2
CABP7-DT	0	0	0	2	0	0	0	0	0
CABP7	2	4	25	30	18	29	16	22	27
ZMAT5	317	361	321	664	595	725	992	315	582
ENSG00000287967	0	0	0	3	0	0	2	1	1
UQCR10	1574	1460	1488	5072	1964	2676	5520	4652	2962
ENSG00000299803	0	0	1	1	0	0	0	0	0
ASCC2	1560	1426	1667	3126	1065	2462	2678	1827	2530
MTMR3	924	821	1516	1681	1147	2205	2515	1020	2155
RNU6-331P	0	0	0	0	0	0	0	0	0
MIR6818	0	0	0	0	0	0	0	0	0
HORMAD2-AS1	32	19	42	12	22	34	69	30	19
CNN2P1	3	2	7	2	1	6	2	1	3
HORMAD2	1	1	2	3	2	6	8	0	1
RPL36P17	0	0	0	0	0	0	0	0	0
RPS3AP51	0	0	0	1	0	0	0	0	0
ENSG00000299076	0	0	0	0	0	0	0	0	0
ENSG00000225676	0	0	0	0	0	0	0	0	0
ENSG00000299104	0	0	0	0	0	0	0	0	0
ENSG00000299123	0	0	0	0	0	0	0	0	0
ENSG00000289846	0	0	0	0	0	0	0	0	0
LIF-AS1	0	0	1	0	0	0	0	0	0
LIF	94	87	181	199	102	384	182	73	284
LIF-AS2	1	2	1	2	0	1	0	0	4
OSM	0	0	1	0	0	0	0	0	1
ENSG00000307596	0	0	0	0	0	0	0	0	0
ENSG00000307561	0	0	0	0	0	0	0	0	0
ENSG00000289888	0	0	0	0	0	0	0	0	0
ENSG00000279699	0	0	2	0	0	4	2	0	0
ENSG00000308679	0	0	1	0	0	0	0	0	0
CASTOR1	17	10	13	8	6	16	0	1	6
ENSG00000248751	0	0	0	0	0	0	0	0	0
TBC1D10A	126	125	165	179	125	236	158	34	214
SF3A1	7904	6962	4604	13034	5137	9176	14350	9098	11929
CCDC157	143	130	157	206	130	278	319	77	346
RNF215	303	297	684	428	341	816	448	114	625
SEC14L2	59	54	92	63	111	105	166	44	240
ENSG00000249590	0	0	0	0	0	0	0	0	0
ENSG00000273350	0	1	1	0	0	0	0	0	0
RNU6-564P	0	0	0	0	0	0	1	0	0
ENSG00000272689	0	0	2	1	0	0	0	0	1
ENSG00000303189	1	2	0	2	0	2	2	0	2
MTFP1	261	183	102	124	200	164	107	22	166
ENSG00000273428	1	3	3	3	5	6	6	6	14
SLC39A1P1	0	0	0	0	0	0	0	0	0
SEC14L3	0	0	0	0	0	0	0	0	0
ENSG00000181123	0	0	0	0	0	0	0	0	0
SDC4P	0	0	0	0	0	0	0	0	0
SEC14L4	42	28	54	0	5	6	2	0	1
ENSG00000304489	0	0	0	0	0	0	0	0	0
SEC14L6	68	70	151	85	95	175	290	88	184
ENSG00000304318	0	1	1	0	0	0	0	0	1
SIRPAP1	27	28	50	89	23	69	175	95	63
GAL3ST1	443	363	318	292	368	415	676	163	264
PES1	5016	4875	3822	8782	3240	6494	6844	3928	7456
ENSG00000223831	0	0	3	2	0	3	1	3	0
TCN2	2005	1904	2906	3111	1749	2439	3140	1378	2813
SLC35E4	260	210	193	291	278	298	379	103	342
DUSP18	70	62	77	125	68	120	167	113	119
RPL13AP26	4	6	5	9	6	2	6	2	9
ENSG00000288153	0	1	1	1	0	2	0	0	2
OSBP2	272	194	259	417	188	396	426	223	323
MIR3200	0	0	0	0	0	0	0	0	0
ENSG00000297138	0	0	0	0	0	0	0	0	2
EIF4HP2	0	0	1	5	1	0	4	1	1
ENSG00000294008	98	74	122	92	66	112	204	121	200
MORC2-AS1	0	0	1	0	0	2	2	0	3
MORC2	2802	2359	3028	4453	2396	5763	6144	2926	6927
TUG1	7329	6418	7646	8904	4668	10114	18266	14485	11593
ENSG00000276664	0	0	0	0	0	0	0	0	0
ENSG00000276057	0	0	0	0	0	0	0	0	0
ENSG00000276965	0	0	0	0	0	0	0	0	0
ENSG00000275307	0	0	0	0	0	0	0	0	0
ENSG00000269987	0	0	3	1	0	3	0	0	0
ENSG00000269972	0	1	0	0	0	0	3	1	0
ENSG00000308799	0	0	0	0	0	0	0	0	0
ENSG00000278920	0	0	0	0	0	0	0	0	0
RN7SL633P	0	0	0	0	0	0	0	0	0
SMTN	481	437	469	727	545	870	1039	341	1278
ENSG00000273387	15	16	51	35	21	22	42	9	31
SELENOM	291	239	400	211	283	408	653	142	334
RPS15AP37	0	0	0	0	0	1	0	0	0
INPP5J	259	219	380	365	216	399	505	156	429
PLA2G3	1185	1251	558	1089	1462	1337	2392	598	2084
ENSG00000307556	0	0	0	0	0	0	0	0	0
SNRPNP2	0	0	1	0	0	1	0	0	0
MIR3928	0	0	0	0	0	0	0	0	0
RNF185	1391	1324	1201	2038	1181	1988	2836	1404	2313
ENSG00000298545	0	0	0	0	0	0	0	1	1
RNF185-AS1	0	0	0	0	0	0	0	0	0
LIMK2	1345	1328	1788	2172	892	2230	1831	1025	2400
RNU6-1128P	0	0	0	0	0	0	0	0	0
PIK3IP1	100	88	91	108	138	248	246	53	125
PIK3IP1-DT	2	3	1	2	3	5	3	0	6
ENSG00000294819	1	0	0	0	0	2	0	0	1
RNA5SP496	0	1	0	0	0	0	1	0	0
PATZ1	2495	2618	3885	5961	2358	3245	4975	2698	4766
LINC01521	82	97	354	100	77	216	99	25	196
RNU6-338P	0	0	0	0	0	0	0	0	0
DRG1	2536	2494	2386	5244	1649	4014	4270	4034	3705
EIF4ENIF1	848	838	1202	1716	859	1539	2616	1903	2316
ENSG00000240591	2	0	1	2	1	3	4	3	3
RNU6-28P	0	0	0	0	0	2	0	0	1
SFI1	389	315	805	534	364	1150	684	229	1003
ENSG00000287817	12	2	7	8	2	7	7	6	6
H2AZP6	0	0	0	0	0	0	0	0	0
RPS26P59	0	0	0	0	0	0	0	0	0
RPS18P14	4	1	2	3	2	3	2	2	1
ENSG00000296570	0	0	0	0	0	0	0	0	0
PISD	1307	1106	1288	2200	776	1945	1730	1052	1453
MIR7109	0	0	0	0	0	0	0	0	0
PRR14L	2887	2150	4872	3600	1890	3935	4878	2678	5686
DEPDC5	412	379	485	710	337	590	773	355	654
ENSG00000285404	0	0	0	0	0	0	0	0	0
RN7SL20P	0	0	0	0	0	0	0	0	0
RPL17P52	0	0	0	0	0	0	0	0	0
RNU6-201P	0	0	0	0	0	0	0	0	0
ENSG00000227813	0	0	0	0	0	0	0	0	0
ENSG00000298701	0	0	0	0	0	0	0	0	0
YWHAH-AS1	2	2	7	12	1	13	13	9	22
ENSG00000306617	0	0	0	0	0	0	0	0	0
YWHAH	7348	6836	6321	12085	5028	9360	12259	10529	8873
ENSG00000227519	0	0	0	0	0	0	0	0	0
LINC02558	1	0	0	1	0	0	1	0	0
RN7SL305P	0	0	0	0	0	0	0	0	0
RPS17P16	172	174	188	804	193	190	1426	1746	153
SLC5A1	1	1	3	1	3	4	5	0	0
ENSG00000300724	0	0	0	0	0	0	0	0	0
AP1B1P1	0	0	2	0	0	0	2	0	1
ENSG00000237439	0	0	0	0	0	0	0	0	0
AP1B1P2	0	0	0	0	0	0	0	0	0
C22orf42	9	16	3	32	1	19	3	7	7
ENSG00000230120	0	0	0	0	0	0	0	0	0
ENSG00000275656	0	0	0	0	0	0	0	0	0
RFPL2	10	10	5	5	10	14	12	9	6
IGLCOR22-1	0	0	0	1	0	0	1	0	0
SLC5A4-AS1	36	45	44	35	48	138	154	51	74
SLC5A4	0	0	9	2	2	6	4	2	3
ENSG00000289873	0	0	3	1	0	8	2	0	0
CPSF1P1	0	0	0	0	0	0	0	0	0
ENSG00000273325	3	2	1	1	1	14	14	4	10
ENSG00000234626	0	0	2	0	0	1	0	0	0
RFPL3	7	3	0	0	1	5	3	1	0
IGLCOR22-2	0	0	0	0	0	0	0	0	0
RFPL3S	8	6	19	11	22	41	58	28	34
ENSG00000274617	0	0	0	0	0	0	0	0	0
ENSG00000274170	0	0	0	0	0	0	0	0	0
ENSG00000230736	0	0	0	0	0	0	0	0	0
IGLVIVOR22-2	0	0	0	0	0	0	0	0	0
ENSG00000241954	0	0	0	0	0	0	0	0	0
RGL4P1	0	0	0	0	0	2	0	0	0
RTCB	4268	4035	4958	7364	3349	7148	7409	4999	6985
ENSG00000295501	0	2	0	3	0	1	0	0	2
BPIFC	0	0	0	0	0	0	0	0	0
FBXO7	3280	2939	2544	6027	2657	4137	7054	5505	3617
SYN3	508	491	2408	987	298	1345	1008	710	721
ENSG00000299801	0	0	0	0	0	0	0	0	0
SYN3-AS1	0	0	0	0	0	0	0	0	0
ENSG00000299145	0	0	0	0	0	0	0	0	0
RNA5SP497	0	0	0	0	0	0	0	3	0
ENSG00000309773	0	0	0	0	0	0	0	0	0
ENSG00000229673	0	0	0	0	0	0	0	0	0
TIMP3	228	214	249	230	285	369	898	426	316
ETFRF1P1	0	0	0	0	0	0	0	0	0
ENSG00000300892	0	0	3	5	0	4	2	1	5
ENSG00000295622	1	2	5	4	4	2	7	1	2
LINC01640	0	0	0	0	0	0	0	0	0
ENSG00000228622	0	0	0	0	0	0	0	0	1
ENSG00000233632	0	0	0	0	0	0	0	0	0
LARGE1	2814	2632	4092	4531	2484	3980	5553	2417	4921
ENSG00000232073	0	0	0	0	0	0	0	0	0
ENSG00000295601	0	1	0	0	0	0	0	0	0
ENSG00000230741	0	0	0	0	0	0	0	0	0
ENSG00000302643	0	0	0	0	0	0	0	0	0
MIR4764	0	0	0	0	0	0	0	0	0
SNORA50B	0	0	0	0	0	0	0	0	0
ENSG00000281295	0	0	0	0	0	0	0	0	0
LARGE-IT1	0	0	2	0	0	0	0	0	0
LARGE-AS1	0	0	0	0	0	0	0	0	0
LARGE1-AS1	7	16	33	24	11	27	34	20	17
LINC01643	0	0	1	0	0	0	0	0	0
ENSG00000304411	0	0	0	0	0	0	0	0	0
ENSG00000224404	0	0	0	0	0	0	1	0	0
ENSG00000302840	0	0	0	0	0	0	0	0	0
ENSG00000302858	0	0	0	0	0	0	0	0	0
ENSG00000296466	0	0	0	0	0	0	0	0	0
ACO2P1	0	0	0	0	0	0	1	0	0
ENSG00000297940	1	1	0	0	0	0	0	0	0
ENSG00000280356	0	1	1	0	0	0	0	0	0
ENSG00000234891	1	0	0	1	1	0	0	0	1
ENSG00000237316	0	0	0	1	0	0	0	0	4
LINC02885	8	15	36	5	1	3	5	1	2
ISX	0	0	0	0	0	1	1	0	0
LINC01399	0	3	1	14	0	2	5	2	0
ENSG00000273068	0	0	0	0	0	0	0	0	0
ENSG00000238153	2	0	0	0	0	0	0	0	0
ENSG00000303430	13	17	40	38	22	41	48	24	41
ENSG00000303454	0	0	0	0	0	0	0	0	0
RNU7-167P	0	0	0	0	0	0	0	0	0
HMGXB4	2040	1869	2090	3155	1906	3352	6330	4500	3694
ENSG00000273176	0	0	0	0	1	0	0	0	0
TOM1	791	687	973	1453	772	1486	1363	569	1479
MIR3909	0	0	0	0	0	1	0	0	1
MIR6069	0	0	0	0	0	0	0	0	0
ENSG00000282602	0	0	0	1	0	0	0	0	2
ENSG00000282041	0	0	0	0	0	0	0	0	0
HMOX1	839	796	701	1088	437	1036	718	408	913
MCM5	8432	7757	7646	11742	4242	11897	8874	4935	12514
TRMT112P8	0	0	0	0	0	0	2	1	0
ENSG00000273044	1	1	4	1	3	5	8	2	1
RASD2	406	323	378	223	260	424	639	156	156
ENSG00000304364	0	0	0	0	0	0	0	0	0
ENSG00000304386	0	0	0	0	0	0	0	0	0
ENSG00000288777	0	0	0	0	0	0	0	0	0
MB	21	23	98	12	9	37	20	13	11
ENSG00000268818	2	0	0	0	0	0	1	0	0
APOL6	21	29	34	30	20	83	80	26	44
ENSG00000228587	0	0	0	0	0	0	0	0	0
MRPS16P3	0	0	0	0	0	0	0	0	0
APOL5	0	0	0	0	0	0	0	0	0
RBFOX2	5690	4999	6939	7992	4629	9432	13258	7040	9481
ENSG00000294483	0	0	0	0	0	0	0	0	0
ENSG00000294512	2208	1405	498	3105	1437	710	11040	15926	741
ENSG00000293594	0	0	0	0	0	0	0	0	0
NDUFA9P1	0	0	3	12	0	2	4	0	1
ENSG00000279652	0	0	0	0	0	0	0	0	0
