""	WT_P62	Y2_P37_28	YT2_P37_7_17
COMP	14	12	4
UPF1	4081	5578	6077
GDF1	0	0	0
CERS1	238	169	185
ENSG00000269694	0	0	0
COPE	1989	3097	2778
ENSG00000268193	0	0	0
DDX49	1019	1820	1910
HOMER3	497	768	1116
HOMER3-AS1	40	36	62
RN7SL70P	0	0	0
SUGP2	5523	9408	9926
ARMC6	1920	2547	3680
SLC25A42	260	487	379
ENSG00000296554	0	0	0
ENSG00000288837	4	3	2
TMEM161A	1313	2491	1756
MEF2B	14	27	1
BORCS8-MEF2B	1	3	0
BORCS8	207	297	301
RFXANK	1274	1632	2001
NR2C2AP	367	683	606
NCAN	795	1485	1488
RNU6-1028P	0	3	0
ENSG00000267629	0	0	0
HAPLN4	0	0	1
ENSG00000280282	0	0	1
TM6SF2	82	98	69
SUGP1	1290	1941	2465
MAU2	1318	2149	2533
ENSG00000294647	0	0	1
GATAD2A	4764	7890	8862
ENSG00000267234	0	0	0
MIR640	0	0	0
TSSK6	122	144	79
NDUFA13	56	64	73
ENSG00000258674	24	18	39
YJEFN3	261	212	234
CILP2	580	619	520
PBX4	59	83	91
PHF5AP1	0	0	0
ENSG00000259242	0	0	0
ENSG00000309629	0	0	0
LPAR2	977	1270	1377
GMIP	538	859	1011
ATP13A1	1705	3599	4044
ENSG00000295487	6	13	6
ZNF101	1315	1459	1081
ENSG00000271283	6	8	5
ENSG00000270402	0	0	0
ZNF14	477	559	465
ENSG00000275540	0	0	0
LINC00663	54	137	52
ENSG00000271499	0	0	0
ENSG00000287533	0	1	0
ZNF506	300	196	30
ENSG00000267693	0	0	0
ZNF56P	57	86	96
ENSG00000267481	6	13	2
ENSG00000296159	38	1	0
BNIP3P9	0	0	1
ZNF253	1036	597	342
BNIP3P10	0	0	0
ENSG00000267565	0	0	0
ZNF93	1993	2085	1809
BNIP3P47	0	0	0
ENSG00000274800	0	0	1
ZNF682	604	819	643
ENSG00000268070	0	0	0
ENSG00000309227	0	1	0
ENSG00000274033	0	0	0
BNIP3P13	0	0	0
ZNF90	1546	2148	1102
RPS8P11	0	0	0
BNIP3P14	0	0	0
ENSG00000267383	384	616	179
ENSG00000224864	0	0	0
ENSG00000267220	0	0	0
BNIP3P15	3	2	1
ENSG00000308812	0	0	0
ZNF486	896	1775	700
BNIP3P16	0	0	0
ENSG00000267771	0	3	2
ENSG00000308825	0	0	0
ENSG00000280079	121	252	66
BNIP3P17	0	1	0
ENSG00000293745	3	0	0
ENSG00000268620	0	0	0
ACTR2P2	36	59	67
BNIP3P18	0	0	0
ENSG00000269274	1	0	0
BNIP3P19	0	1	0
ENSG00000276294	0	0	0
ENSG00000291130	275	534	457
BNIP3P20	0	0	0
ENSG00000293570	0	0	0
ENSG00000268461	0	0	0
ZNF826P	0	0	0
MIR1270	3	2	3
BNIP3P22	0	0	0
ENSG00000269043	0	0	0
BNIP3P23	0	0	0
ZNF737	329	824	561
ENSG00000269110	1	0	0
VN1R78P	0	0	0
ENSG00000268560	0	0	0
ZNF626	457	657	334
ENSG00000288815	5	16	1
ENSG00000304675	0	0	0
ENSG00000280171	0	0	0
ENSG00000269779	0	0	0
ENSG00000268416	0	1	0
VN1R79P	0	0	0
ZNF66	332	460	766
BNIP3P24	0	0	0
ENSG00000269373	1	0	0
ENSG00000298806	2	5	2
ZNF85	616	1110	1086
ENSG00000279404	0	0	0
KRT18P40	0	0	8
ENSG00000268326	0	0	1
ENSG00000289297	60	44	29
ZNF430	520	685	782
ENSG00000271598	0	0	0
VN1R80P	2	4	2
ZNF714	1966	2658	2909
RNA5SP469	0	0	0
VN1R81P	0	0	0
ZNF431	1738	1896	1688
RPL7AP10	0	0	0
VN1R82P	0	0	0
ENSG00000294785	0	0	0
ENSG00000268892	0	0	0
ENSG00000269839	0	0	0
RPL36AP51	0	0	0
COX16P1	0	0	4
ZNF708	1228	1397	1579
VN1R83P	0	0	0
BNIP3P25	0	0	0
ENSG00000304325	0	0	0
ZNF738	2269	3344	2859
ISCA1P7	0	0	0
ENSG00000213976	0	0	0
ZNF493	566	482	522
ENSG00000269237	0	0	0
ENSG00000304306	74	103	74
ENSG00000268119	928	1780	1244
LINC00664	369	1171	0
ENSG00000309707	0	0	0
ENSG00000307996	0	0	0
ZNF429	453	928	701
BNIP3P26	0	0	0
ENSG00000268081	1	0	1
ENSG00000304629	0	1	1
ENSG00000268555	35	5	7
ENSG00000302775	6	2	3
ENSG00000268240	0	0	0
ENSG00000274503	0	0	0
CPSF6P1	0	0	0
ENSG00000268278	5	2	3
MTDHP3	0	0	0
MTDHP4	0	0	0
VN1R84P	2	6	1
ZNF100	692	1103	904
CCNYL6	8	5	6
ENSG00000268184	0	1	0
BRI3BPP1	0	0	0
ZNF43	1458	3225	3392
BNIP3P27	0	0	0
ENSG00000310262	0	1	1
ENSG00000298625	0	0	0
ENSG00000294668	0	0	0
ENSG00000307323	0	0	0
ENSG00000307357	0	0	0
ENSG00000307339	1	0	0
ZNF208	1	3	0
MTDHP2	0	0	0
ENSG00000279377	0	0	0
BNIP3P28	0	0	0
ENSG00000269504	0	0	0
ZNF257	1	1	1
ENSG00000308832	0	0	0
BNIP3P29	0	0	0
ZNF92P2	0	0	0
ENSG00000268116	0	0	0
PCGF7P	177	204	148
MTDHP5	0	0	0
VN1R85P	0	0	0
ZNF676	0	1	2
BNIP3P30	0	0	0
ENSG00000282732	0	0	0
ENSG00000299065	0	0	0
ENSG00000267872	0	0	0
ENSG00000301047	0	0	0
ENSG00000305733	0	0	0
ENSG00000268597	0	0	0
ENSG00000296363	0	0	0
ZNF729	0	4	2
BNIP3P31	0	0	0
ENSG00000296529	0	0	0
ENSG00000268685	0	0	0
RPL34P34	0	0	0
ZNF98	0	1	0
ENSG00000269796	0	0	0
ENSG00000270947	0	0	0
BNIP3P32	0	0	0
BNIP3P33	0	0	0
ZNF209P	0	0	0
FIGLAP1	0	0	0
ENSG00000286157	0	0	0
ENSG00000260599	0	0	0
LINC01233	0	0	0
RNU6-1179P	0	0	0
ENSG00000308191	0	0	0
ENSG00000271149	0	0	0
GOLGA2P9	0	0	0
RN7SL860P	0	0	0
ENSG00000269025	0	0	0
RAD54L2P1	0	0	0
LINC01785	0	0	0
ENSG00000268589	0	0	0
ZNF492	0	0	2
ENSG00000268981	0	0	0
ZNF849P	0	0	0
RPL34P33	0	0	0
ENSG00000270475	0	0	0
ENSG00000299811	0	0	0
VN1R87P	0	0	0
ZNF99	0	1	0
ENSG00000279966	0	0	0
ENSG00000270518	0	0	0
BNIP3P34	0	0	0
ENSG00000302587	0	0	0
ZNF723	0	0	0
BNIP3P35	0	0	0
VN1R88P	0	0	0
ENSG00000294558	0	0	0
ENSG00000268296	0	0	0
ENSG00000269458	0	0	0
ENSG00000296102	0	0	0
ZNF728	1	0	0
BNIP3P36	0	0	0
LINC01859	0	0	0
LINC01858	0	0	0
ENSG00000269543	0	0	2
ENSG00000267886	345	542	759
ZNF730	416	919	824
BNIP3P37	0	0	0
ENSG00000268105	2	5	16
SNX6P1	0	1	1
ENSG00000269471	0	0	0
ZNF724	454	763	537
ENSG00000283201	0	0	0
BNIP3P38	0	0	0
ENSG00000293107	437	513	721
IPO5P1	0	0	0
ENSG00000295565	0	0	0
ENSG00000269107	0	0	0
ENSG00000284428	153	211	288
ENSG00000295549	0	0	0
ENSG00000295582	1	1	3
VN1R90P	0	0	0
VN1R91P	0	0	0
ZNF91	1113	1642	1806
ENSG00000298972	0	0	0
ENSG00000267934	0	0	0
BNIP3P8	0	0	0
CDC42EP3P1	0	0	0
LINC01224	1199	2086	1940
ENSG00000306337	0	0	2
VN1R92P	0	0	0
ENSG00000275201	0	0	0
ZNF725P	0	0	0
ENSG00000309026	0	0	0
ZNF675	917	1891	1327
ENSG00000307820	0	0	0
ENSG00000307842	0	0	2
ENSG00000307863	0	0	0
ENSG00000268455	0	0	0
RPS27P29	0	0	0
VN1R93P	0	0	0
ENSG00000307881	0	0	1
ZNF681	382	686	571
RPSA2	19478	26256	23209
ENSG00000309060	0	0	0
ENSG00000309037	1	1	3
ENSG00000233836	0	0	0
BNIP3P39	0	0	0
ENSG00000267924	1	2	1
ENSG00000277493	7	17	8
ENSG00000287399	0	1	0
ZNF726	74	238	221
ENSG00000269289	0	0	3
ENSG00000269397	21	53	16
ENSG00000269421	8	12	10
RNA5-8SP4	0	0	0
ENSG00000268362	267	345	383
ZNF254	1331	1782	1541
ENSG00000279425	10	10	19
BNIP3P40	0	0	0
LINC03085	1	2	3
ENSG00000268442	0	0	0
ENSG00000293299	0	0	0
ERVK-28	0	3	2
ENSG00000279882	0	2	0
LINC00662	992	2587	1621
ENSG00000261770	12	25	13
LINC02987	239	510	575
ENSG00000281468	5	26	30
VN1R95P	0	0	1
SLC25A1P5	0	0	0
ENSG00000266977	0	0	0
ENSG00000267389	0	0	0
ENSG00000297647	0	0	0
ENSG00000267768	0	0	0
ENSG00000267630	0	0	0
ENSG00000267623	0	0	0
ENSG00000266906	0	0	0
ENSG00000297628	0	0	0
ENSG00000267509	0	0	0
ENSG00000308466	0	0	0
ENSG00000309006	0	0	0
ENSG00000266928	0	0	0
ENSG00000267320	0	0	0
ENSG00000267238	0	0	0
ENSG00000260725	1	0	0
ENSG00000290606	8	8	3
ENSG00000302315	0	0	0
ENSG00000267423	0	0	0
ENSG00000266976	0	0	0
ENSG00000283269	0	0	0
ENSG00000305348	0	0	0
MAN1A2P1	11	23	23
ENSG00000304617	0	0	0
ENSG00000267617	0	0	0
ENSG00000293618	0	0	0
LINC00906	1	6	9
ENSG00000267027	0	0	0
ENSG00000267240	0	0	0
RNA5SP470	0	0	0
LINC01532	4	0	0
ENSG00000301295	2	0	0
ENSG00000288017	0	0	0
ENSG00000306980	0	0	0
UQCRFS1	2530	4158	4472
UQCRFS1-DT	11	21	14
ENSG00000296727	2	0	2
RN7SL340P	0	0	0
ENSG00000287272	1	10	15
VSTM2B-DT	10	17	14
ENSG00000267574	0	0	0
ENSG00000304554	0	0	0
VSTM2B	23	139	51
ENSG00000308915	0	0	0
ENSG00000308527	1	0	1
POP4	667	1065	1315
ENSG00000300186	7	9	6
PLEKHF1	175	263	335
C19orf12	510	814	1086
ENSG00000289030	1	1	0
ENSG00000300725	1	0	3
ENSG00000300689	5	3	4
ENSG00000286867	1	0	1
CCNE1	1358	2168	2502
ENSG00000286538	1	1	2
ENSG00000301007	0	0	0
ENSG00000267433	0	0	0
ENSG00000278895	0	0	0
ENSG00000309944	0	0	0
PPIAP58	0	0	1
URI1	2825	4089	4008
RPL9P32	0	0	0
ENSG00000267006	0	0	0
TAF9P3	1	2	2
ENSG00000266910	10	10	10
ENSG00000301101	0	0	0
ENSG00000287859	3	10	0
ENSG00000288072	0	1	0
ENSG00000267223	0	0	0
ZNF536	36	125	116
ENSG00000289187	0	0	0
ENSG00000280061	7	15	23
ENSG00000267760	7	6	6
ENSG00000307208	0	0	0
LINC01834	1	0	0
ENSG00000307188	0	0	0
ENSG00000267378	0	0	0
ENSG00000307646	0	0	0
ENSG00000301379	0	0	0
ENSG00000299895	0	0	0
ENSG00000284430	0	0	0
TSHZ3	253	720	486
LINC01791	0	0	0
ENSG00000298535	0	0	0
TSHZ3-AS1	41	74	21
ENSG00000298548	0	0	0
ENSG00000278875	5	21	3
LINC02959	0	0	0
LINC02841	0	0	0
LINC03103	0	0	0
ENSG00000261400	1	4	2
ENSG00000300274	0	0	0
RNA5SP471	0	0	0
ENSG00000300290	0	1	0
RNU6-967P	0	0	0
LINC01837	0	0	0
ENSG00000303073	0	0	0
LINC01533	0	0	0
LINC01782	0	0	0
ENSG00000267133	0	0	0
ENSG00000286041	0	0	0
ENSG00000288790	0	0	0
RNA5SP472	0	0	0
ZNF507	2169	3202	3122
DPY19L3-DT	41	65	49
DPY19L3	2640	4027	4114
PDCD5	1129	1972	2237
ANKRD27	2912	3252	2745
SNORA68B	2	0	1
RPS12P31	0	0	0
RN7SL789P	0	0	1
ENSG00000267557	0	0	0
RGS9BP	3	2	1
NUDT19-DT	27	18	22
NUDT19	121	145	176
ENSG00000290058	2	6	4
ENSG00000267567	0	0	0
TDRD12	154	121	43
GCM1P1	0	0	0
SLC7A9	0	1	10
ENSG00000267555	0	0	0
RN7SKP22	1	0	0
CEP89	854	1471	1702
RPL31P60	0	0	0
FAAP24	248	232	199
RHPN2	2044	1403	1245
ENSG00000267611	0	0	0
ENSG00000267725	0	0	0
GPATCH1	366	564	851
WDR88	1	1	1
ENSG00000289378	52	114	60
LRP3	846	1493	1757
ENSG00000267054	0	0	0
ENSG00000273420	0	0	0
SLC7A10	190	344	319
ENSG00000267714	2	0	0
ENSG00000299313	0	0	0
ENSG00000299326	0	0	0
ENSG00000306784	0	0	0
ENSG00000270212	0	0	0
ENSG00000267580	0	0	0
CEBPA	139	164	99
ENSG00000267727	1	0	0
CEBPA-DT	122	161	83
ENSG00000305011	0	0	0
ENSG00000267130	5	5	4
RPS3AP50	0	0	0
AKR1B1P7	0	0	0
CEBPG	4181	5575	2954
PEPD	2906	4101	4020
ENSG00000303184	25	18	11
ENSG00000305929	0	0	1
ENSG00000305944	0	0	0
ENSG00000266985	0	0	0
ENSG00000297485	0	0	0
RPL21P131	0	0	0
ENSG00000297046	0	0	0
ENSG00000309867	0	0	0
CHST8	335	2375	1110
ENSG00000304341	0	0	0
KCTD15	1560	2489	3155
ENSG00000308675	0	5	4
ENSG00000309594	3	2	13
ENSG00000289539	22	11	3
SUNO1	182	280	175
RN7SL150P	0	0	0
ENSG00000287526	10	4	0
RPS4XP23	0	0	0
RPS4XP20	0	0	0
RPS4XP21	0	0	1
CHCHD2P3	0	0	0
LSM14A	8095	10322	9649
GARRE1	1530	1970	1866
RPL29P33	0	0	0
ENSG00000267219	15	15	2
GPI	10624	25561	21209
ENSG00000266953	0	1	0
PDCD2L	440	623	390
RN7SL154P	0	0	0
ENSG00000267024	2	2	0
UBA2	9358	12622	12096
WTIP	643	269	209
RPS26P55	0	0	0
ZNF807P	1	1	8
SCGB1B2P	59	16	20
SCGB2B2	13	32	21
ENSG00000306401	0	0	0
ENSG00000271049	0	0	0
ENSG00000252230	1	0	0
ENSG00000268683	1	0	0
ENSG00000279971	0	0	0
SCGB2B3P	0	0	0
ENSG00000279329	2	2	2
ZNF302	1291	2072	1956
ENSG00000274104	47	81	51
ZNF181	446	551	443
ZNF599	118	187	195
ENSG00000270281	0	0	1
LINC01801	134	350	367
ENSG00000261754	80	261	354
ENSG00000271666	0	0	0
ENSG00000295482	0	2	1
LINC02965	10	12	1
ENSG00000270624	1	1	2
LINC00904	1	1	1
LINC01838	58	19	21
ZNF30-AS1	4	10	3
ZNF30	322	449	404
ENSG00000280106	15	30	18
ZNF792	258	573	381
ENSG00000298329	0	1	0
ENSG00000296044	0	1	1
GRAMD1A	3643	9162	6050
GRAMD1A-AS1	1	3	5
ENSG00000271032	0	2	1
HPN-AS1	9	12	9
SCN1B	155	178	127
HPN	1105	822	369
ENSG00000179066	23	23	28
ENSG00000285526	0	0	0
FXYD3	4	1	0
MIR6887	0	0	0
LGI4	163	218	110
ENSG00000279619	49	67	17
FXYD1	1	0	0
ENSG00000221857	0	1	0
FXYD7	99	248	147
FXYD5	1627	3500	2538
ENSG00000294495	0	3	1
FAM187B	0	0	0
FAM187B2P	4	5	7
LSR	4236	4911	5756
ENSG00000271366	0	0	0
ENSG00000268947	8	7	7
ENSG00000307673	8	7	11
ENSG00000288942	3	2	2
USF2	2672	3416	3121
ENSG00000307628	0	0	0
HAMP	5	3	2
MAG	4	10	12
ENSG00000289845	0	0	0
CD22	10	18	10
ENSG00000269553	1	0	0
MIR5196	0	0	0
ENSG00000288731	0	0	4
FFAR1	1	0	2
FFAR3	1	1	2
GPR42	0	0	0
EEF1A1P7	0	1	0
LINC01531	0	0	0
ENSG00000283479	0	0	0
RN7SL491P	0	0	0
ENSG00000289246	0	0	0
FFAR2	0	0	0
ENSG00000305291	0	0	0
KRTDAP	54	10	7
DMKN	4335	3705	2628
SBSN	243	7	4
GAPDHS	4	3	17
TMEM147-AS1	1115	2139	1589
TMEM147	2057	3160	2995
ATP4A	29	33	26
LINC01766	7	12	7
ENSG00000309463	1	0	0
ENSG00000291292	0	0	0
PMIS2	0	2	0
HAUS5-DT	0	0	0
ENSG00000306547	0	0	0
HAUS5	945	1494	1850
ENSG00000295195	0	0	0
RBM42	1766	2682	2663
ETV2	23	19	19
COX6B1	2533	5983	5939
UPK1A	191	233	79
UPK1A-AS1	135	177	97
TYMSP2	0	0	0
ZBTB32	4	1	1
ENSG00000307882	17	14	13
KMT2B	1523	2873	3405
IGFLR1	59	57	47
ENSG00000267120	0	1	0
ENSG00000307818	1	2	0
U2AF1L4	118	178	144
PSENEN	519	1038	1004
ENSG00000188223	0	1	0
ENSG00000267439	0	0	3
LIN37	45	82	68
ENSG00000267328	0	0	1
HSPB6	9	12	4
PROSER3	519	873	872
ENSG00000267049	0	0	0
ARHGAP33	862	1462	1552
TEX14BP	8	5	7
PRODH2	0	2	0
NPHS1	86	65	8
KIRREL2	439	486	348
APLP1	1598	3027	3266
RN7SL402P	0	0	0
NFKBID	125	223	314
ENSG00000280194	13	18	12
HCST	8	12	7
TYROBP	1	2	3
ENSG00000304370	0	0	0
ENSG00000297614	0	0	0
LRFN3	497	1046	1017
ENSG00000267786	5	7	5
ENSG00000267113	0	0	0
SDHAF1	178	419	364
SYNE4	404	192	323
ENSG00000248101	0	0	0
ALKBH6	56	109	125
ENSG00000267698	38	90	90
CLIP3	2508	2386	2733
THAP8	409	589	482
WDR62	1975	2912	3910
ENSG00000280023	0	5	3
OVOL3	0	1	0
POLR2I	1149	1504	1567
TBCB	2699	3323	3088
ENSG00000279504	1	4	11
ENSG00000307989	3	4	4
CAPNS1	4399	8715	8818
ENSG00000270760	0	0	0
COX7A1	7	0	0
ENSG00000294115	2	5	4
ENSG00000294128	17	5	0
ENSG00000267005	0	0	0
ZNF565	146	140	155
ZNF146	7165	10015	9467
ENSG00000267053	3	4	4
LINC00665	3085	3048	2025
ZFP14	424	818	611
ENSG00000266973	1	0	0
ENSG00000267363	0	0	0
ZFP82	1071	1087	1142
ENSG00000267142	0	1	0
ENSG00000299561	0	0	0
ZNF566	495	630	617
ZNF566-AS1	46	41	31
CTBP2P7	0	4	1
ZNF260	1748	2148	2199
ENSG00000228629	4	9	1
ZNF529	492	630	507
ZNF529-AS1	118	163	85
ZNF382	334	247	127
ZNF461	158	214	205
ENSG00000301128	5	10	12
ENSG00000276071	7	13	6
ZNF567-DT	25	62	23
ZNF567	854	772	671
ZNF850	495	566	431
ENSG00000267260	112	73	48
ENSG00000267353	2	0	0
ZNF790-AS1	27	0	0
ENSG00000307475	0	0	0
ZNF790	211	232	332
ENSG00000307498	0	0	0
ZNF345	189	177	213
ENSG00000291239	0	0	0
ZNF829	131	24	2
RPL31P61	2	1	1
ZNF568	65	36	29
ZNF420	419	522	482
ENSG00000300522	0	0	0
ENSG00000275547	0	0	0
ENSG00000267345	1	3	2
ENSG00000267672	0	0	0
ENSG00000267360	0	2	0
ZNF585A	222	240	138
ENSG00000267437	0	0	0
ZNF585B	129	265	70
ZNF383	190	273	264
ENSG00000267605	1	1	0
LINC01535	38	65	39
ENSG00000286449	8	0	0
ZNF875	1253	1926	1518
ENSG00000276846	11	18	6
ENSG00000303209	0	0	0
ENSG00000267682	4	2	4
ZNF527	188	260	310
ENSG00000279936	0	0	0
ZNF569	923	1080	1032
ZNF570	343	432	402
ZNF793-AS1	62	69	68
ZNF793	485	642	671
ENSG00000180458	1	2	0
ZNF571-AS1	27	54	44
ZNF540	8	5	6
ZNF571	192	248	176
ZFP30	487	642	703
ZNF781	48	27	71
ENSG00000267552	0	0	0
SELENOKP1	8	5	20
ZNF607	717	759	920
ENSG00000289748	0	0	0
ENSG00000296520	2	0	0
ENSG00000267152	40	64	60
ENSG00000287496	0	0	0
ZNF573	130	178	112
ENSG00000293171	25	19	22
ENSG00000267422	558	779	829
ENSG00000291089	347	1	0
ENSG00000267640	1	0	0
WDR87BP	83	129	66
WDR87	0	2	0
SIPA1L3	1279	1632	2091
ENSG00000268051	2	4	0
ENSG00000268764	0	0	0
ENSG00000297279	0	0	0
ENSG00000269653	3	1	3
ENSG00000268499	0	2	1
RN7SL663P	0	2	4
DPF1	248	568	993
SPINT2	5242	5379	3131
PPP1R14A	247	407	194
ENSG00000267748	0	0	0
ENSG00000286037	11	10	1
YIF1B	2335	3078	2267
C19orf33	3	0	0
KCNK6	1071	869	403
CATSPERG	75	50	16
ENSG00000266963	0	0	0
ENSG00000294383	0	0	0
PSMD8	5149	8412	7882
GGN	46	74	89
ENSG00000267090	0	0	0
SPRED3	343	536	1177
ENSG00000297441	0	0	0
FAM98C	202	238	126
RASGRP4	110	133	188
RYR1	739	1352	3168
ENSG00000269445	1	0	0
ENSG00000268055	1	4	1
MAP4K1	310	367	312
MAP4K1-AS1	41	39	6
EIF3K	5826	10279	8111
ENSG00000298353	1	2	4
ACTN4	9294	12225	13599
ENSG00000267375	0	0	0
ENSG00000298338	3	8	7
CAPN12	415	323	201
ENSG00000267892	26	28	26
LGALS7	18	3	1
LGALS7B	27	1	1
RNU6-140P	0	0	0
LGALS4	6	8	4
ECH1	1714	2447	2236
ENSG00000268083	0	0	1
ENSG00000268756	12	25	21
HNRNPL	6631	13037	13101
ENSG00000269688	12	32	33
RINL	391	296	179
ENSG00000269050	0	0	0
SIRT2	401	684	693
ENSG00000305081	0	0	0
NFKBIB	834	957	865
CCER2	14	7	8
SARS2	226	260	226
ENSG00000269547	0	1	0
MRPS12	946	1372	1634
ERVK9-11	5	5	10
FBXO17	725	595	437
ENSG00000305395	0	0	1
ENSG00000287271	0	0	1
FBXO27	515	577	495
ENSG00000267992	0	0	1
ACP7	38	12	1
PAK4	3190	3153	3881
ENSG00000269172	0	0	0
NCCRP1	259	150	82
SYCN	0	0	0
ENSG00000296032	0	0	0
IFNL3P1	0	0	3
IFNL3	1	0	0
IFNL4	2	0	0
MSRB1P1	0	0	0
IFNL4P1	0	1	0
IFNL2	0	0	0
IFNL1	0	0	0
LRFN1	440	504	940
ENSG00000305034	0	0	0
GMFG	5	16	26
ENSG00000290031	0	0	0
ENSG00000269246	0	1	0
SAMD4B	3429	6691	7739
RN7SL566P	4	9	4
PAF1	1020	1894	3181
MED29	1936	2554	3105
ENSG00000307007	3	3	7
ENSG00000307067	1	1	0
ENSG00000307025	2	2	6
ENSG00000288919	10	29	14
ENSG00000307054	1	0	0
ZFP36	257	295	134
ENSG00000308785	0	0	0
MIR4530	0	0	0
ENSG00000307861	4	1	8
PLEKHG2	2281	2493	3761
RPS16	23600	31234	23981
SUPT5H	4829	6918	9469
TIMM50	3014	5459	4613
DLL3	177	314	289
SELENOV	362	387	268
ENSG00000288770	0	3	4
EID2B	92	173	125
ENSG00000269792	11	13	26
CRIPTOP7	0	0	0
EID2	546	783	799
ENSG00000269588	0	0	0
ENSG00000304576	0	0	0
ENSG00000269188	0	0	0
RPS29P24	0	0	0
RPS29P25	0	0	0
RPS29P26	0	0	0
LGALS13	0	0	0
ENSG00000269519	0	0	0
ENSG00000290598	0	0	0
ENSG00000268153	0	0	0
RPS29P30	0	0	0
LGALS16	0	0	0
LGALS17A	0	1	0
ENSG00000226025	0	0	0
ENSG00000268088	0	0	0
RPS29P27	0	0	0
LGALS14	0	0	0
ENSG00000278813	0	0	0
CLC	1	6	0
LEUTX	0	0	0
ENSG00000295466	0	0	3
ENSG00000276445	1	6	8
DYRK1B	300	372	452
MIR6719	0	1	1
ENSG00000291312	0	0	0
FBL	13568	17471	16522
FCGBP	64	49	71
ENSG00000303389	0	0	0
PRR13P5	580	856	679
ENSG00000309093	7	7	2
PSMC4	3588	6525	7729
ENSG00000295786	5	5	7
ZNF546	62	97	104
ENSG00000269069	50	102	101
ZNF780B	501	667	608
ENSG00000269749	0	0	0
ZNF780A	566	754	587
ENSG00000269296	0	0	0
ENSG00000308388	1	1	2
VN1R96P	0	0	0
ENSG00000308409	0	0	0
ENSG00000296190	1	0	2
ENSG00000296203	0	0	0
MAP3K10	577	852	749
TTC9B	2	1	2
CCNP	6	1	0
ENSG00000309303	0	0	0
AKT2	3573	5034	5291
ENSG00000205041	37	67	50
ENSG00000308179	0	0	0
MIR641	5	12	17
RNU6-945P	0	0	0
C19orf47	546	704	787
PLD3	7570	16269	19182
ENSG00000279759	23	48	61
MIR6796	0	2	1
HIPK4	18	13	10
PRX	609	772	855
SERTAD1	226	241	305
ENSG00000277453	2	7	3
SERTAD3	1066	1117	981
SERTAD3-AS1	0	0	0
BLVRB	1158	1050	795
SPTBN4	291	216	158
ENSG00000298987	0	0	0
ENSG00000301397	1	0	0
ENSG00000301801	3	3	8
SHKBP1	2993	3909	3438
LTBP4	2837	3419	3784
NUMBL	991	1109	1327
COQ8B	1453	2366	2210
RNU6-195P	0	0	0
ITPKC	628	990	959
ACTMAP	1054	1295	884
SNRPA	7589	10624	9255
MIA	1	0	0
MIA-RAB4B	0	0	0
RAB4B	14	42	22
RAB4B-EGLN2	1	0	2
ENSG00000282951	0	2	0
ENSG00000306007	0	1	0
EGLN2	128	256	322
ENSG00000268797	0	0	0
CYP2T1P	44	56	6
ENSG00000293114	9	6	2
CYP2F2P	0	0	0
ENSG00000300700	11	24	29
ENSG00000269843	0	1	0
ENSG00000279108	5	6	6
CYP2A6	18	9	7
ENSG00000297278	0	0	0
CYP2A7	7	0	0
CYP2G1P	5	7	5
ENSG00000297319	0	0	0
CYP2B7P	11	16	3
CYP2A7P2	0	0	0
ENSG00000269353	0	0	0
CYP2B6	31	450	252
CYP2A7P1	0	0	0
ENSG00000294932	2	0	0
ENSG00000294953	0	0	0
ENSG00000304552	0	0	0
CYP2G2P	0	0	0
ENSG00000271299	0	0	0
CYP2A13	64	77	110
CYP2F1	8	5	14
ENSG00000301056	8	19	6
CYP2T3P	0	0	3
ENSG00000301076	0	0	0
RPL36P16	0	0	0
ENSG00000307518	0	0	1
RN7SL718P	0	0	0
CYP2S1	8263	7065	7287
AXL	3795	1954	2122
ENSG00000269652	0	0	0
HNRNPUL1	12414	19522	22401
RN7SL34P	0	0	0
TGFB1	497	903	895
ENSG00000286177	2	13	9
CCDC97	1707	1895	2092
ENSG00000255730	1	2	1
TMEM91	115	127	58
B9D2	68	104	158
ENSG00000277744	5	15	15
EXOSC5	1042	1536	1348
BCKDHA	10	10	9
ENSG00000268987	0	0	0
ENSG00000268475	0	1	2
B3GNT8	57	78	156
DMAC2	2516	2852	2526
ERICH4	0	0	0
PCAT19	0	8	9
ENSG00000302087	0	0	0
TPM3P5	291	596	694
PLEKHA3P1	6	5	5
ENSG00000289298	0	0	0
LINC01480	0	10	4
ENSG00000301443	0	7	4
ENSG00000268027	0	10	7
CEACAM21	3	7	9
ENSG00000280014	0	0	0
CEACAMP3	0	0	0
ENSG00000291001	0	0	0
DNAJC19P2	0	0	0
CEACAM4	0	0	0
ENSG00000300400	0	0	0
DNAJC19P3	0	0	0
ENSG00000269354	0	0	0
ENSG00000306768	0	0	1
ENSG00000268582	0	0	0
ENSG00000308584	0	0	0
CEACAM7	1	4	0
CEACAM5	0	0	0
ENSG00000267881	0	0	0
CEACAM6	4	1	3
ENSG00000268833	0	0	0
ENSG00000306605	0	0	0
CEACAM3	0	0	0
ENSG00000306626	0	0	0
ENSG00000306647	0	0	0
HNRNPA1P52	0	1	0
ENSG00000278239	0	0	0
LYPD4	1	0	0
DMRTC2	0	1	0
ENSG00000306611	0	0	0
RPS19	29276	37927	32560
MIR6797	2	1	1
CD79A	9	18	17
ARHGEF1	1562	2769	2316
ENSG00000296972	0	0	0
ERFL	6	10	3
ENSG00000298942	0	0	0
RABAC1	134	179	177
